region	count	r_long_d
053	3	Australia and New Zealand
029	28	Caribbean
013	8	Central America
143	5	Central Asia
014	20	Eastern Africa
030	8	Eastern Asia
151	10	Eastern Europe
054	5	Melanesia
057	7	Micronesia
017	9	Middle Africa
015	9	Northern Africa
021	5	Northern America
154	16	Northern Europe
QO	13	Outlying Oceania
061	10	Polynesia
005	14	South America
035	11	South-Eastern Asia
018	5	Southern Africa
034	9	Southern Asia
039	17	Southern Europe
011	17	Western Africa
145	18	Western Asia
155	9	Western Europe
